           1   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        1.0000000000000000        1.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
           2   6.3914156355280158E-029   6.3914156355280158E-029   6.9953693965370341E-131   6.9953693965370341E-131   1.4772685414440753E-131  -1.4772685414440753E-131  0.99999999999955236       0.99999999999955236       -3.9110560358413964E-103  -3.9110560358413964E-103  -8.0151629698389326E-105   8.0151629698389326E-105
           3   8.3706007875548680E-029   8.3706007875548680E-029   1.1910900378323505E-130   1.1910900378323505E-130   2.5025891159710766E-131  -2.5025891159710766E-131  0.99999999999920897       0.99999999999920897       -7.0115968247463701E-103  -7.0115968247463701E-103  -1.4369288170287511E-104   1.4369288170287511E-104
           4   1.1672823709821765E-028   1.1672823709821765E-028   1.9566112376741329E-130   1.9566112376741329E-130   4.0994668804663717E-131  -4.0994668804663717E-131  0.99999999999894673       0.99999999999894673       -9.5281993750015512E-103  -9.5281993750015512E-103  -1.9526713526957992E-104   1.9526713526957992E-104
           5   1.6217532459774807E-028   1.6217532459774807E-028   3.0819100629225708E-130   3.0819100629225708E-130   6.4467232466431917E-131  -6.4467232466431917E-131  0.99999999999874756       0.99999999999874756       -1.1628339763612670E-102  -1.1628339763612670E-102  -2.3830657863218995E-104   2.3830657863218995E-104
           6   2.2536483164193131E-028   2.2536483164193131E-028   4.7395079603620421E-130   4.7395079603620421E-130   9.9040960855605211E-131  -9.9040960855605211E-131  0.99999999999859757       0.99999999999859757       -1.3436036354500047E-102  -1.3436036354500047E-102  -2.7535279490525223E-104   2.7535279490525223E-104
           7   3.1317146949147600E-028   3.1317146949147600E-028   7.1785203039212274E-130   7.1785203039212274E-130   1.4991125118998362E-130  -1.4991125118998362E-130  0.99999999999848577       0.99999999999848577       -1.5043365519465382E-102  -1.5043365519465382E-102  -3.0829276069789456E-104   3.0829276069789456E-104
           8   4.3518963348919459E-028   4.3518963348919459E-028   1.0765186257584458E-129   1.0765186257584458E-129   2.2471604268313149E-130  -2.2471604268313149E-130  0.99999999999840372       0.99999999999840372       -1.6518939649976965E-102  -1.6518939649976965E-102  -3.3853259112155740E-104   3.3853259112155740E-104
           9   6.0474860534803714E-028   6.0474860534803714E-028   1.6037290595880569E-129   1.6037290595880569E-129   3.3467087869025217E-130  -3.3467087869025217E-130  0.99999999999834488       0.99999999999834488       -1.7914149551740028E-102  -1.7914149551740028E-102  -3.6712546894607096E-104   3.6712546894607096E-104
          10   8.4037129651329258E-028   8.4037129651329258E-028   2.3784576239834441E-129   2.3784576239834441E-129   4.9624590730436005E-130  -4.9624590730436005E-130  0.99999999999830402       0.99999999999830402       -1.9267761569982960E-102  -1.9267761569982960E-102  -3.9486585626019861E-104   3.9486585626019861E-104
          11   1.1677975106731864E-027   1.1677975106731864E-027   3.5166782448861094E-129   3.5166782448861094E-129   7.3362757713622719E-130  -7.3362757713622719E-130  0.99999999999827716       0.99999999999827716       -2.0609303950120425E-102  -2.0609303950120425E-102  -4.2235889320267275E-104   4.2235889320267275E-104
