# k             sigma       delta     v       da        db       vsr       u   t_trans   itmax    nmax    dt       dx     
  0.0810     0.00070321    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.0910     0.00081003    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.1010     0.00089075    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.1110     0.00093881    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.1210     0.00094850    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.1310     0.00091484    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.1410     0.00083364    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.1510     0.00070118    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.1610     0.00051432    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.1710     0.00027046    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.1810    -0.00003278    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.1910    -0.00039731    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.2010    -0.00082484    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.2110    -0.00131687    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.2210    -0.00187464    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.2310    -0.00249921    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.2410    -0.00319161    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.2510    -0.00395267    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.2610    -0.00478306    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.2710    -0.00568341    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.2810    -0.00665433    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.2910    -0.00769630    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.3010    -0.00880972    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.3110    -0.00999498    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.3210    -0.01125247    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.3310    -0.01258247    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.3410    -0.01398527    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.3510    -0.01546101    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.3610    -0.01700988    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.3710    -0.01863210    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.3810    -0.02032776    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.3910    -0.02209705    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.4010    -0.02394003    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.4110    -0.02585684    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.4210    -0.02784753    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.4310    -0.02991221    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.4410    -0.03205093    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.4510    -0.03426372    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.4610    -0.03655067    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.4710    -0.03891178    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.4810    -0.04134706    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000
  0.4910    -0.04385654    3.000    0.000    1.000    0.333    0.000   25.000      0     799999    500  0.00100  1.00000

  0.0010    -0.00003564    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0110    -0.00015561    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0210    -0.00047552    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0310    -0.00099539    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0410    -0.00171521    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0510    -0.00263498    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0610    -0.00375471    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0710    -0.00507438    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0810    -0.00659400    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0910    -0.00831358    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.1010    -0.01023312    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.1110    -0.01235261    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.1210    -0.01467205    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.1310    -0.01719146    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.1410    -0.01991082    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.1510    -0.02283015    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.1610    -0.02594944    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.1710    -0.02926869    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.1810    -0.03278792    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.1910    -0.03650711    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.2010    -0.04042627    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.2110    -0.04454541    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.2210    -0.04886452    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.2310    -0.05338361    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.2410    -0.05810269    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.2510    -0.06302174    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.2610    -0.06814079    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.2710    -0.07345983    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.2810    -0.07897885    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.2910    -0.08469788    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.3010    -0.09061691    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.3110    -0.09673594    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.3210    -0.10305498    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.3310    -0.10957403    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.3410    -0.11629309    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.3510    -0.12321218    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.3610    -0.13033129    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.3710    -0.13765042    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.3810    -0.14516959    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.3910    -0.15288879    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.4010    -0.16080804    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.4110    -0.16892733    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.4210    -0.17724668    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.4310    -0.18576608    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.4410    -0.19448554    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.4510    -0.20340506    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.4610    -0.21252466    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.4710    -0.22184434    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.4810    -0.23136409    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.4910    -0.24108394    1.000    0.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0010    -0.95706799    0.200    0.000    1.000    5.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0110    -0.96032943    0.200    0.000    1.000    5.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0010    -0.95706542    0.200   10.000    1.000    5.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0110    -0.96009094    0.200   10.000    1.000    5.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0210    -1.01319696    0.200   10.000    1.000    5.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0010    -0.00003614    1.000   10.000    1.000    1.000    0.000   25.000      0     599999    600  0.00100  1.00000
  0.0010    -0.47699698    1.000   10.000    1.000    1.000    0.700   25.000      0     599999    600  0.00100  1.00000
  0.0010    -0.00007242    1.000   10.000    1.000    1.000   -0.700   25.000      0     599999    600  0.00100  1.00000

  0.0010    -0.00000001    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0110    -0.00001072    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0210    -0.00019706    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0310    -0.00094021    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0410    -0.00273713    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0510    -0.00609800    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0610    -0.01147950    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0710    -0.01925617    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0810    -0.02971767    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0910    -0.04307858    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.1010    -0.05949247    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.1110    -0.07906519    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.1210    -0.10186627    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.1310    -0.12793812    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.1410    -0.15730307    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.1510    -0.18996877    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.1610    -0.22593236    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.1710    -0.26518346    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.1810    -0.30770660    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.1910    -0.35348290    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.2010    -0.40249141    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.2110    -0.45471009    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.2210    -0.51011655    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.2310    -0.56868851    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.2410    -0.63040428    0.100   90.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0010     0.00000032    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0110     0.00002813    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0210    -0.00006473    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0310    -0.00068043    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0410    -0.00234029    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0510    -0.00557563    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0610    -0.01085836    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0710    -0.01857241    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0810    -0.02901229    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
  0.0910    -0.04239438    0.100   91.000    1.000   10.000    2.500   25.000     99     599999    600  0.00100  1.00000
