# k              sigma          delta      dc    db   t_trans   itmax       nmax        dt    dx     
  0.19010000   0.00253554   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.20010000   0.00236128   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.21010000   0.00213497   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.22010000   0.00185627   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.23009999   0.00152444   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.24009999   0.00113882   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.25009999   0.00069884   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.26009999   0.00020399   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.27009999  -0.00034633   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.28009999  -0.00095243   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.29009999  -0.00161401   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.30009999  -0.00233138   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.31009999  -0.00310480   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.32009999  -0.00393448   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.33009999  -0.00482067   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.34009999  -0.00576355   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.35009999  -0.00676335   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.36009999  -0.00782040   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.37009999  -0.00893427   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.38009999  -0.01010497   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.39009999  -0.01133260   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.40009999  -0.01261723   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.41009999  -0.01395895   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.42009999  -0.01535782   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.43009999  -0.01681390   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.44009999  -0.01832725   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500

  0.00010000  -0.00000500   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.01010000   0.00004354   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.02010000   0.00018196   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.03010000   0.00039626   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.04010000   0.00066779   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.05010000   0.00097723   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.06010000   0.00130723   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.07010000   0.00164337   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.08010000   0.00197427   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.09010000   0.00229111   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.10010000   0.00258713   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.11010000   0.00285717   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.12010000   0.00309724   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.13010000   0.00330421   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.14010000   0.00347567   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.15010000   0.00360968   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.16010000   0.00370469   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.17010000   0.00375945   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.18010000   0.00377293   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.19010000   0.00374428   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.20010000   0.00367281   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.21010000   0.00355792   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.22010000   0.00339911   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.23009999   0.00319597   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.24009999   0.00294814   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.25009999   0.00265533   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.26009999   0.00231727   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.27009999   0.00193372   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.28009999   0.00150449   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.29009999   0.00102943   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.30009999   0.00050839   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.31009999  -0.00005875   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.32009999  -0.00067210   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.33009999  -0.00133175   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.34009999  -0.00203778   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.35009999  -0.00279025   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.36009999  -0.00358921   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.37009999  -0.00443470   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.38009999  -0.00532675   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.39009999  -0.00626539   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
  0.40009999  -0.00725065   4.99999993  1.000  0.200    199     120000       2800  0.010  0.500
